title,genres
Drive Angry,"action, fantasy, thriller"
Hot Shots!,"action, comedy"
The Reader,"drama, romance"
American Made,"action, comedy, crime"
The Girl Next Door,"crime, drama, thriller"
Fury,"action, drama, war"
You've Got Mail,"comedy, drama, romance"
A Quiet Place,"drama, horror, sci-fi"
Unfaithful,"drama, romance, thriller"
Magnolia,drama
Interview with the Vampire: The Vampire Chronicles,"drama, fantasy, horror"
Scott Pilgrim vs. the World,"action, comedy, fantasy"
Harry Potter and the Order of the Phoenix,"action, adventure, family"
TRON: Legacy,"action, adventure, sci-fi"
Mortal Kombat,"action, adventure, fantasy"
Batman & Robin,"action, sci-fi"
Grown Ups 2,comedy
Cry-Baby,"comedy, musical"
The Invisible Man,"drama, horror, mystery"
Never Back Down,"action, drama, sport"
Jack Reacher: Never Go Back,"action, crime, drama"
All the Boys Love Mandy Lane,"horror, mystery, thriller"
Armageddon,"action, adventure, sci-fi"
Bad Times at the El Royale,"crime, drama, mystery"
Army of the Dead,"action, crime, horror"
The Hunger Games: Catching Fire,"action, adventure, drama"
Just Go with It,"comedy, romance"
The Blind Side,"biography, drama, sport"
Without a Paddle,"adventure, comedy, mystery"
Nocturnal Animals,"drama, thriller"
The NeverEnding Story,"adventure, drama, family"
"10,000 BC","action, adventure, drama"
Vanilla Sky,"fantasy, mystery, romance"
Point Break,"action, crime, thriller"
Face/Off,"action, crime, sci-fi"
The Killing of a Sacred Deer,"drama, horror, mystery"
Terminator: Dark Fate,"action, adventure, sci-fi"
The Hobbit: An Unexpected Journey,"adventure, fantasy"
Secretary,"comedy, drama, romance"
Poison Ivy,"drama, thriller"
The Predator,"action, adventure, sci-fi"
Mamma Mia!,"comedy, musical, romance"
Project X,comedy
Coherence,"drama, mystery, sci-fi"
2001: A Space Odyssey,"adventure, sci-fi"
Luca,"animation, adventure, comedy"
Halloween Kills,"horror, thriller"
Chaos Walking,"action, adventure, fantasy"
The Incredibles,"animation, action, adventure"
Brokeback Mountain,"drama, romance"
Frozen,"animation, adventure, comedy"
Mr. Holmes,"drama, mystery"
Benediction,"biography, drama, war"
Pacific Rim,"action, adventure, sci-fi"
Lady Bird,"comedy, drama"
In Time,"action, sci-fi, thriller"
Wonder Woman,"action, adventure, fantasy"
The Intouchables,"biography, comedy, drama"
Shazam!,"action, adventure, comedy"
Pearl Harbor,"action, drama, history"
Hustlers,"comedy, crime, drama"
Life Is Beautiful,"comedy, drama, romance"
La La Land,"comedy, drama, music"
We Are Marshall,"drama, sport"
From Dusk Till Dawn,"action, crime, horror"
The Shape of Water,"drama, fantasy, romance"
Thor: The Dark World,"action, adventure, fantasy"
The Incredible Hulk,"action, adventure, sci-fi"
Nitram,"drama, thriller"
The Package,"comedy, thriller"
Taken,"action, crime, thriller"
Molly's Game,"biography, crime, drama"
The Firm,"drama, mystery, thriller"
All My Friends Hate Me,"comedy, horror"
A Simple Favor,"comedy, crime, mystery"
Back to the Future Part II,"adventure, comedy, sci-fi"
Robin Hood: Men in Tights,"adventure, comedy, musical"
Apocalypto,"action, adventure, drama"
Drive My Car,drama
Man of Steel,"action, adventure, sci-fi"
Final Destination,"horror, thriller"
The Girl with the Dragon Tattoo,"crime, drama, mystery"
Toy Story 4,"animation, adventure, comedy"
Mystic River,"crime, drama, mystery"
Thirteen,drama
Den of Thieves,"action, crime, drama"
Finding Nemo,"animation, adventure, comedy"
Psycho,"horror, mystery, thriller"
World War Z,"action, adventure, horror"
Rush,"action, biography, drama"
10 Cloverfield Lane,"drama, horror, mystery"
Sweet Home Alabama,"comedy, romance"
Sleeping Beauty,"drama, romance, thriller"
The Pianist,"biography, drama, music"
Room,"drama, thriller"
City of Lies,"biography, crime, drama"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","adventure, family, fantasy"
Cinderella,"comedy, family, fantasy"
Ghostbusters: Answer the Call,"action, comedy, fantasy"
Life,"horror, sci-fi, thriller"
Booksmart,comedy
The Boy,"horror, mystery, thriller"
A Star Is Born,"drama, music, romance"
The Eyes of Tammy Faye,"biography, drama, romance"
Cocktail,"comedy, drama, romance"
The Untouchables,"crime, drama, thriller"
Ready or Not,"action, comedy, horror"
Robots,"animation, adventure, comedy"
Caddyshack,"comedy, sport"
Allegiant,"action, adventure, mystery"
Pride,"biography, comedy, drama"
Hitman's Wife's Bodyguard,"action, comedy, crime"
Army of Thieves,"action, comedy, crime"
Harry Potter and the Half-Blood Prince,"action, adventure, family"
Oldboy,"action, drama, mystery"
Reminiscence,"mystery, romance, sci-fi"
The Mitchells vs the Machines,"animation, adventure, comedy"
The Butterfly Effect,"drama, sci-fi, thriller"
A History of Violence,"action, crime, drama"
The Hustle,"comedy, crime"
Radioactive,"biography, drama, romance"
The Unforgivable,"crime, drama"
The Devil's Advocate,"drama, mystery, thriller"
Sixteen Candles,"comedy, romance"
The Righteous,"drama, horror, mystery"
Good Time,"crime, drama, thriller"
Midnight in Paris,"comedy, fantasy, romance"
Split,"horror, thriller"
Argo,"biography, drama, thriller"
Resident Evil,"action, horror, sci-fi"
Major League,"comedy, sport"
Raya and the Last Dragon,"animation, action, adventure"
"Monsters, Inc.","animation, adventure, comedy"
Fantasy Island,"fantasy, horror, mystery"
Notting Hill,"comedy, drama, romance"
Sin City,"crime, thriller"
Shrek,"animation, adventure, comedy"
Inside Out,"animation, adventure, comedy"
The Peanut Butter Falcon,"adventure, comedy, drama"
Now You See Me,"crime, mystery, thriller"
The Da Vinci Code,"mystery, thriller"
Chocolat,"drama, romance"
Dredd,"action, crime, sci-fi"
Waterworld,"action, adventure, sci-fi"
C'mon C'mon,drama
The Turning,"drama, horror, mystery"
Varsity Blues,"comedy, drama, romance"
The Mummy,"action, adventure, fantasy"
Fifty Shades Freed,"drama, romance, thriller"
Quantum of Solace,"action, adventure, thriller"
V for Vendetta,"action, drama, sci-fi"
The Rocketeer,"action, adventure, family"
John Wick: Chapter 3 - Parabellum,"action, crime, thriller"
The Outpost,"action, drama, history"
Little Miss Sunshine,"comedy, drama"
28 Days Later...,"drama, horror, sci-fi"
Transcendence,"action, drama, sci-fi"
Snake Eyes,"action, adventure, crime"
The Maze Runner,"action, mystery, sci-fi"
Cape Fear,"crime, thriller"
Home Alone,"comedy, family"
The Ballad of Cable Hogue,"comedy, drama, romance"
12 Years a Slave,"biography, drama, history"
Matilda,"comedy, family, fantasy"
